"Cleaned_value ( ""Value"" column of the OLIS observation is cleaned)",counts,Flag,name,Overall counts: 687707,% missingness over all in all columns) :  79%
cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,4,Cancelled,,,
critical results phoned to and read back by na er,4,Unknown,,,
critical results phoned to and read back by maria,4,Unknown,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 21 michelle boisvert healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,4,Unknown,,,
please refer to order for influenza results,4,Unknown,,,
critical results phoned to and read back by theodora tl sa,4,Unknown,,,
final ph report faxed to ordering health care provider final ph report to follow in olis 20 monique lacasse healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,4,Unknown,,,
performed on cepheid genexpert,4,Unknown,,,
incorrectly ordered in soarian re ordered by lab,4,Cancelled,,,
virus isolated,4,Positive,,,
please refer to virus detection below,4,Unknown,,,
ordered in error refer to virus detection,3,Cancelled,,,
unlabelled sample please repeat phoned to er c repeat requested,3,Cancelled,,,
cancelled by labs,3,Cancelled,,,
specimen is inappropriate for culture test requested and was discarded for the following reason rec d wrong tube with unknown fluid phoned to rn on kidd10 and is collecting repeat sample,3,Cancelled,,,
critical results phoned to and read back by,3,Unknown,,,
duplicate order see,3,Cancelled,,,
cancelled by labs please refer to virus isolation detection laboratory accession,3,Cancelled,,,
cancelled by labs refer to virus isolation,3,Cancelled,,,
refer to order for result,3,Unknown,,,
sent to phl for testing khsc does not test for influenza in off season called to floor,3,Cancelled,,,
xfla,3,Unknown,,,
specimen is inappropriate for culture test requested and was discarded for the following reason recieved swab in anaerobic transport media called to c,3,Cancelled,,,
please note specimen rejected duplicate specimen received within 24 hours of collection please refer to order for result,3,Cancelled,,,
due to laboratory error specimen not processed please resubmit sample,3,Cancelled,,,
see order for fluab results,3,Unknown,,,
unlabeled specimen received and has therefore not been processed please repeat if necessary,3,Cancelled,,,
unlabelled sample please repeat called to tyler,3,Cancelled,,,
this specimen has been tested using a molecular assay which amplifies the detection of influenza a b viral rna by isothermal rt hda this test has 96% sensitivity and specificity negative results do not preclude influenza virus infection and should not be the sole basis for diagnosis treatment or other patient management decisions,3,Unknown,,,
cancelled by labs forwarded to phl for testing,3,Cancelled,,,
critical results phoned to and read back by na mlt,3,Unknown,,,
influenza has been forwarded to phl for testing see,3,Unknown,,,
please note this molecular assay has been validated at kingston health sciences centre for diagnostic use copy of report sent to prhc ipac on specimen testing performed at kingston health sciences centre 76 stuart street kingston ontario k7l 2v,3,Unknown,,,
weakly positive,3,Positive,,,
unlabelled sample please repeat,3,Cancelled,,,
cancelled by labs refer to virus detection,3,Cancelled,,,
test not performed on asymptomatic patients,3,Cancelled,,,
test not done sample not recieved,3,Cancelled,,,
poor specimen quality please resubmit sample,3,Cancelled,,,
phoned to icp csm name tstipet01s phoned to patient location name,3,Unknown,,,
kgh no longer performing in house testing specimen sent to public health laboratory,3,Cancelled,,,
cancelled by labs forwarded to public health for testing,3,Cancelled,,,
unlabelled sample please repeat called to er c for recollect,3,Cancelled,,,
see acession,3,Unknown,,,
critical results phoned to and read back by sheila ac,3,Unknown,,,
refer to virus isolation detection,3,Unknown,,,
ordered in error please see vid for results wrong test code,3,Cancelled,,,
cancelled by labs swab sent without viral transport fluid phoned to d4 icu repeat requested,3,Cancelled,,,
critical results phoned to and read back by eroz irinarn time and date by peter nueve,3,Unknown,,,
delete duplicate order refer to,3,Cancelled,,,
specimen sent to a reference laboratory please see accession collected,3,Unknown,,,
cancelled by public health lab see emr for details,3,Cancelled,,,
specimen is inappropriate for culture test requested and was discarded for the following reason recieved a tube for blood gas not a naso swab no inhouse infab done currently recollect for public health,3,Cancelled,,,
cancelled by labs khsc no longer testing for influenza specimen sent to public health lab,3,Cancelled,,,
testing cancelled by laboratory cancelled as per ordering physician,3,Cancelled,,,
specimen received in expired swab kit therefore unsuitable for testing sample not processed,3,Cancelled,,,
ordered in error forwarded to pho as vid refer to a new accession number,3,Cancelled,,,
test cancelled by ordering physician called in by jen liersh 0910 as per dr bikranpa sidhu,3,Cancelled,,,
cancelled routine seasonal respiratory virus testing is not available for adult emergency er patients and ambulatory patients of all ages please refer to pho s respiratory viruses test information sheet at www publichealthontario ca labs testing site public health laboratory toronto 661 university avenue suite 1701 toronto on m5g 1m,3,Cancelled,,,
a negative result does not exclude the possible presence of the above viruses,3,Negative,,,
cancelled by labs forwarded to public health lab for testing,3,Cancelled,,,
ordered in error sample sent to phl for testing please vid for results,3,Cancelled,,,
critical results phoned to and read back by louis time and date by peter nueve,3,Unknown,,,
unlabelled sample please repeat called to er a jan 22 @,3,Cancelled,,,
ordered in error forwarded to public health for infulenza testing,3,Cancelled,,,
critical results phoned to and read back by angela,3,Unknown,,,
testing performed in house,3,Unknown,,,
cancelled routine respiratory virus testing is not available for ambulatory and non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral algorithm update available at www publichealthontario ca labs,3,Cancelled,,,
unlabelled sample please repeat phoned to holly repeat requested,3,Cancelled,,,
duplicate order entry refer to,3,Cancelled,,,
ordered in error swab being sent to public health lab for testing c3 phoned,3,Cancelled,,,
delete duplicate order sent to phl for testing,3,Cancelled,,,
ordered in error reordered and resulted under accession t,3,Cancelled,,,
specimen sent to phl for testing,3,Unknown,,,
not currently doing preforming flu inhouse sample sent to public health for testing,3,Cancelled,,,
sent to phl,3,Unknown,,,
cancelled sample routine respiratory virus testing s not available for ambulatory non hospitalized emergency room er patients for more information refer to pho s labstract respiratory viral testing algorithm update available at www publichealthontario ca labs,2,Cancelled,,,
phoned to icp csm name email sent 2 1 20 at phoned to patient location name adoodman01s,2,Unknown,,,
critical results phoned to and read back by marie christine sa charge nurse,2,Unknown,,,
p1 text human enterovirus organism p1 text,2,Positive,others,,
invalid test result sample referred to public health laboratory for testing,2,Cancelled,,,
verbal report given to theodora rn wer by sadig mohamed,2,Unknown,,,
not reported,2,Cancelled,,,
negative not detected tested by genexpert pcr method specimen testing performed at prhc microbiology laboratory 1 hospital drive peterborough ontario k9j 7c,2,Negative,,,
critical results phoned to and read back by n a time and date by lougin gad mlt,2,Unknown,,,
critical results phoned to and read back by beata wer time and date by jajn mclay,2,Unknown,,,
sample rejected as per microbiologist previous flu pcr done in smh 3 20 2020 covid 19 done in phl,2,Unknown,,,
critical results phoned to and read back by er diyata time and date by peter nueve,2,Unknown,,,
critical results phoned to and read back by theodora er time and date by angela boakye mlt,2,Unknown,,,
ordered in error phoned to erin on k6 refer to covid swab sent nov 13th,2,Cancelled,,,
cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients testing site kingston public health laboratory 181 barrie st box 240 kingston on k7l 4v,2,Cancelled,,,
a negative result does not preclude infection with influenza virus and should not be the sole basis of the patient treatment decision sample to be sent on to phl for confirmation,2,Negative,,,
results phoned to lourdis er tl nurse,2,Unknown,,,
test not done previous order for flu pcr sent to phl 3 23 2020 previous order for covid 19 sent to phl,2,Cancelled,,,
critical results phoned to and read back by beata,2,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name adeb01s,2,Unknown,,,
this specimen was documented as collected but not received by the microbiology laboratory more than 48 hours if this test is still required please place a new order,2,Unknown,,,
please see report below,2,Unknown,,,
e swab received please submit sample in viral transport medium for virus detection test cancelled,2,Cancelled,,,
the result,2,Unknown,,,
phoned to icp csm name emailed phoned to patient location name aparker01s,2,Unknown,,,
ordered in error phoned to k6 refer to covid swab nov 13th,2,Cancelled,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 20 michelle boisvert healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,2,Unknown,,,
fluab testing is not performed on out patients,2,Unknown,,,
phoned to icp csm name email sent phoned to patient location name sjauod01s,2,Unknown,,,
patient previously tested positive for covid,2,Unknown,,,
phoned to icp csm name email sent 14 2 20 at phoned to patient location name tdecarl01s,2,Unknown,,,
duplicate sample please refer to,2,Unknown,,,
testing not warranted as per medical microbiologist,2,Unknown,,,
please refer tol,2,Unknown,,,
ereference lab report scanned by health records to view report go to the respective emr or pcs pcm webacute application webacute see diagnostic tab s laboratory s scanned reports emr see laboratory section s microbiology section s public health lab report srhc selecting all visits will capture reports on other accounts,2,Unknown,,,
phoned to icp csm name email phoned to patient location name jyamauc01s,2,Unknown,,,
refer to for result,2,Unknown,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 20 leah kiviaho healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,2,Unknown,,,
covid 19 virus not detected by real time pcr testing performed using the luminex aries 2019 ncov assay note the luminex aries 2019 ncov assay has not been approved by health canada but has been verified by the university health network sinai health microbiology laboratory,2,Unknown,,,
phoned to icp csm name rwelch01s phoned to patient location name,2,Unknown,,,
phoned to icp csm name email sent phoned to patient location name sbales01s,2,Unknown,,,
not tested due to laboratory error we no longer have the sample please resubmit another sample if clinically indicated,2,Unknown,,,
covid 19 virus pcr test unable to be completed this is a duplicate order this test has been cancelled,2,Unknown,,,
phoned to icp csm name emailed phoned to patient location name shodsman01s,2,Unknown,,,
critical results time and date by raymond lakhan,2,Unknown,,,
see order for covid and fluab results,2,Unknown,,,
cancelled by public health laboratory see emr for details,2,Unknown,,,
respiratory viral testing including influenza in non admitted patients at age of one year or greater is of minimal clinical value and testing is no longer available for this patient group,2,Unknown,,,
please refer to order,2,Unknown,,,
duplicate order in soarian please refer to order number,2,Unknown,,,
phoned to icp csm name emailed phoned to patient location name cbonell01s,2,Unknown,,,
test will be performed at phl site,2,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name devans01s,2,Unknown,,,
critical results phoned to and read back by andrea er rn time and date by mital pandya mlt,2,Unknown,,,
refer to order,2,Unknown,,,
inconclusive result please collect a new specimen notified rmher on at specimen testing performed at prhc microbiology 705 743 2121 x3175 1 hospital drive peterborough on,2,Unknown,,,
please recollect if clinically indicated,2,Unknown,,,
critical results phoned to and read back by mikko oz wsb,2,Unknown,,,
specimen not labelled with patient s name hence not processed,2,Unknown,,,
pls refer to order for result,2,Unknown,,,
critical results phoned to and read back by w08emed dino time and date by denise balcharan,2,Unknown,,,
please re collect if clinically indicated,2,Unknown,,,
phoned to icp csm name emailed phoned to patient location name jbrown05s,2,Unknown,,,
duplicate order please refer to for results,2,Unknown,,,
test not performed on outpatient,2,Unknown,,,
order cancelled as per microbiologist,2,Unknown,,,
negative not detected note testing completed using pcr method note this specimen was collected in transport medium that has not been valided for coviflu testing interpret results with extreme caution,2,Unknown,,,
critical results phoned to and read back by arcie,2,Unknown,,,
critical results phoned to and read back by hamsha,2,Unknown,,,
critical results phoned to and read back by jessica 4paeds time and date by jajn mclay,2,Unknown,,,
specimen unsuitable for testing because the specimen appears to be an inappropriate swab,2,Unknown,,,
see phl report scanned in emr final result available under laboratory miscellaneous called result to er,2,Unknown,,,
not performed please refer to order for result,2,Unknown,,,
covid not detected by pcr,2,Unknown,,,
phoned to icp csm name charlto01s phoned to patient location name dlloyd01s,2,Unknown,,,
phoned to and read back by zoya covid 19 virus not detected by real time pcr,2,Unknown,,,
final ph report faxed to ordering health care provider final ph report to follow in olis 20 melody martin healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,2,Unknown,,,
duplicate specimen received hence not processed refer to order for result,2,Unknown,,,
please refer to specimen m,2,Unknown,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 20 kelly paradis healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,2,Unknown,,,
m critical results phoned to and read back by n a,2,Unknown,,,
phoned to icp csm name sent email phoned to patient location name lmellett01s,2,Unknown,,,
duplicate order please refer to sample collected on the same day,2,Unknown,,,
critical results phoned to and read back by rajee,2,Unknown,,,
please refer to respiratory pathogen panel the medical officer of health toronto has been notified of this report by the university health network mount sinai hospital joseph and wolf lebovic health complex department of microbiology,2,Unknown,,,
critical results phoned to and read back by theodora er oz,2,Unknown,,,
verbal report given to bob by,2,Unknown,,,
the submitted specimen is inappropriate for the test being requested refer to the online specimen collection manual for appropriate specimen type,2,Unknown,,,
critical results phoned to and read back by susan 4paeds time and date by jajn mclay,2,Unknown,,,
critical results phoned to and read back by f6e raj,2,Unknown,,,
duplicate order entry,2,Unknown,,,
not performed see,2,Unknown,,,
specimen referred to public health for confirmatory testing,2,Unknown,,,
result,2,Unknown,,,
critical results phoned to and read back by barbara er time and date by vincenzina portelli,2,Unknown,,,
testing performed at mackenzie health,2,Unknown,,,
critical results phoned to and read back by iris,2,Unknown,,,
critical results phoned to and read back by eroz theodora time and date by peter nueve,2,Unknown,,,
duplicate order cancelled,2,Unknown,,,
refer to order duplicate order in soarian,2,Unknown,,,
see for results,2,Unknown,,,
results called by peter mayberry at results called to taylor brown rn read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,2,Unknown,,,
verbal report given to joyal rn w07wcard by sadig mohamed,2,Unknown,,,
not tested duplicate order please refer to sample collected on the same day,2,Unknown,,,
tracheal washings via ett unsuitable for pcr testing,2,Unknown,,,
critical results phoned to and read back by irina,2,Unknown,,,
critical results phoned to and read back by liyan w04paed,2,Unknown,,,
critical results phoned to and read back by divine rn time and date by mital pandya mlt,2,Unknown,,,
please refer to plv,2,Unknown,,,
duplicate order refer to order,2,Unknown,,,
rapid respiratory virus culture cancelled cancelled sample routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients,2,Unknown,,,
critical results phoned to and read back by eroz precious rn time and date by peter nueve,2,Unknown,,,
duplicate specimen received hence not processed,2,Unknown,,,
critical results phoned to and read back by safiya,2,Unknown,,,
testing is not done on outpatients,1,Unknown,,,
critical results phoned to and read back by anu w09wmed,1,Unknown,,,
test not performed please refer to specimen m,1,Unknown,,,
phoned to icp csm name email sent 12 2 20 at phoned to patient location name tthibideau01s,1,Unknown,,,
test not done please refer to nasopharyngeal swab collected on the same day,1,Unknown,,,
critical results phoned to and read back by 4paed anesa,1,Unknown,,,
critical results phoned to and read back by gurinder sa,1,Unknown,,,
verbal report given to bob paed clinic by vincenzina portelli,1,Unknown,,,
not tested sample not received in viral transport media and would not be processed,1,Unknown,,,
results called by peter mayberry at results called to hope kamahoro rn read back y a copy of this report has been sent to the medical officer of health kenora northwestern health unit,1,Unknown,,,
critical results phoned to and read back by anthoneil w08emed time and date by chantal morris,1,Unknown,,,
critical results time and date by moneyram lakhan fax to ccovid,1,Unknown,,,
critical results phoned to and read back by valerie wer acute time and date by chantal morris,1,Unknown,,,
critical results phoned to and read back by maya 7w rn time and date by ellie zeidi,1,Unknown,,,
critical results phoned to and read back by doris 7w time and date by jajn mclay mlt,1,Unknown,,,
results called by peter mayberry at results called to jeanelle donkoh rn read back y,1,Unknown,,,
this is a duplicate order this test has been cancelled please refer to,1,Unknown,,,
critical results phoned to and read back by lyan,1,Unknown,,,
phoned to icp csm name jackie mehrabian phoned to patient location name bgray01s,1,Unknown,,,
enterovirus by multiplex cancelled,1,Unknown,,,
this is a duplicate order this test has been cancelled please refer to order,1,Unknown,,,
critical results phoned to fatima rn time and date by abigail bu ot,1,Unknown,,,
duplicate order refer to sample collected sample,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name sgallag01s,1,Unknown,,,
please see order for results of pooled samples rll and lll,1,Unknown,,,
parainfl 1 2 3 4multiplex cancelled,1,Unknown,,,
please refer to order for influenza testing results,1,Unknown,,,
not tested duplicate order,1,Unknown,,,
critical results phoned to and read back by bethany 8emed time and date by jajn mclay,1,Unknown,,,
phoned to icp csm name email sent at phoned to patient location name cleroux01s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name kzhang01s,1,Unknown,,,
critical results phoned to and read back by mercedes sa,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name sconno01s,1,Unknown,,,
sample rejected incorrect swab used,1,Unknown,,,
critical results phoned to and read back by w04paed vidya time and date by denise balcharan,1,Unknown,,,
phoned to icp csm name e mailed icp 1608 phoned to patient location name pramsar01s,1,Unknown,,,
please refer to order for respiratory viral detection,1,Unknown,,,
out patients,1,Unknown,,,
verbal report given to sheryl rn wer sa by sadig mohamed,1,Unknown,,,
critical results phoned to and read back by maya oz,1,Unknown,,,
no sample received please repeat if necessary,1,Unknown,,,
rhinovirus multiplex naat cancelled,1,Unknown,,,
specimen collected using wrong kit rejected please,1,Unknown,,,
critical results phoned to and read back by nav time and date by ildiko sarkozi mlt,1,Unknown,,,
critical results phoned to and read back by dominic time and date by jiji rajan,1,Unknown,,,
not tested swab received belongs to a different patient as per ward,1,Unknown,,,
phoned to icp csm name emailed no answer at ipac phoned to patient location name mhajiba01s,1,Unknown,,,
critical results phoned to and read back by ann,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name masha mcdonald agency,1,Unknown,,,
results phoned to theodora er tl nurse,1,Unknown,,,
critical results phoned to and read back by arcre,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name eleong01s,1,Unknown,,,
phoned to icp csm name emailed phoned to patient location name sarah01s,1,Unknown,,,
critical results phoned to nelson rn wer tl time and date by abigail bu ot,1,Unknown,,,
phoned to icp csm name email sent phoned to patient location name ydavidov01s,1,Unknown,,,
critical results phoned to and read back by ruiz,1,Unknown,,,
critical results phoned to and read back by barbara e sa charge nurse,1,Unknown,,,
phoned to icp csm name phoned to patient location name phoned to icp csm name charlto01s phoned to patient location name mdourado01s,1,Unknown,,,
incorrectly ordered in soarian re ordered by lab please see lab number for results,1,Unknown,,,
specimen received in a wrong transport medium therefore unacceptable for testing please recollect if clinically indicated,1,Unknown,,,
phl sample date collected date received test cancelled note cancelled routine respiratory virus testing is not available for ambulatory non hospitalized emergency room er patients for more information refer to pho labstract respiratory viral testing algorithm update available at www publichealthontario ca labs testing site public health laboratory sudbury 1300 paris st suite 2 sudbury on p3e 3a3 customer service ph 877 604 4567 fax,1,Unknown,,,
m critical results phoned to and read back by joy mlt,1,Unknown,,,
phoned to icp csm name email phoned to patient location name hmills01s,1,Unknown,,,
final ph report faxed to ordering health care provider final ph report scanned to emr final ph report may follow in olis 21 verner hurst healthcare providers can currently access olis via neon meditech emr an ontariomd certified emr or the connectingontario solution for the purposes of clinical care organizations that do not qualify for any of these channels may qualify for olis access via our web application ehealth services https www ehealthontario ca portal server pt community ho me,1,Unknown,,,
critical results phoned to and read back by jessica time and date by moneyram lakhan,1,Unknown,,,
covid 19 e gene by multiplex naat not detected covid 19 virus pcr interpretation covid 19 virus not detected by real time pcr,1,Unknown,,,
critical results phoned to and read back by 7ecardjomol time and date by peter nueve,1,Unknown,,,
critical results phoned to and read back by jennifer time and date by jiji rajan,1,Unknown,,,
duplicate see for results,1,Unknown,,,
critical results phoned to and read back by jenny,1,Unknown,,,
test not performed eswab not suitable for testing please recollect,1,Unknown,,,
please see order,1,Unknown,,,
critical results phoned to and read back by dilara w04paed time and date by chantal morris,1,Unknown,,,
phoned to icp csm name email phoned to patient location name iroberte01s,1,Unknown,,,
